title,category,spec,price
Glass Fibre Hydraulic Oil Filters In Worli Maharashtra,"Hydraulic Oil Filters,HYDAC Filters","Diameter==4 inch,Filter Type==HYDRUALIC OIL FILTER,Filtration Rating==3 TO 200 MICRON,Country of Origin==Made in India,Filter Medium Material==Glass Fibre,Usage/Application==Oil Filter",999
Glass Fibre Hydraulic Oil Filters In Thiruvalla Kerala,"Hydraulic Oil Filters,HYDAC Filters","Diameter==4 inch,Filter Type==HYDRUALIC OIL FILTER,Filtration Rating==3 TO 200 MICRON,Country of Origin==Made in India,Filter Medium Material==Glass Fibre,Usage/Application==Oil Filter",999
Glass Fibre Hydraulic Oil Filters In Pimpri-Chinchwad Maharashtra,"Hydraulic Oil Filters,HYDAC Filters","Diameter==4 inch,Filtration Rating==3 TO 200 MICRON,Country of Origin==Made in India,Filter Medium Material==Glass Fibre,Usage/Application==Oil Filter,Filter Type==HYDRAULIC OIL FILTER",999
PVC 1.25Mm Advance Decorative Laminate Sheet For Interior Applications,"PVC Laminates,PVC Sheets","Size==8x4 Sqft,Usage/Application==Furniture,Design Type==Printed,Color==White,Surface Finish==Glossy,Country of Origin==Made in India,Thickness==1.25 mm,Material==PVC,Brand==Advance Decorative Laminates",3000
Glass Fibre Hydraulic Oil Filters In Muzaffarnagar Uttar Pradesh,"Hydraulic Oil Filters,HYDAC Filters","Diameter==4 inch,Filter Type==HYDRUALIC OIL FILTER,Filtration Rating==3 TO 200 MICRON,Country of Origin==Made in India,Filter Medium Material==Glass Fibre,Usage/Application==Oil Filter",999
"Polished TECCI-TECH Granite Surface Table, Unit Size: 630X630 mm, Thickness: 50mm",Granite Surface Plate,"Thickness==50mm,Unit Size==630X630 mm,Surface Finish==Polished",20000
Glass Fibre Hydraulic Oil Filters In Kolhapur Maharashtra,"Hydraulic Oil Filters,HYDAC Filters","Diameter==4 inch,Filtration Rating==3 TO 200 MICRON,Country of Origin==Made in India,Filter Medium Material==Glass Fibre,Usage/Application==Oil Filter,Filter Type==HYDRAULIC OIL FILTER",999
Glass Fibre Hydraulic Oil Filters In Joda Odisha,"Hydraulic Oil Filters,HYDAC Filters","Diameter==4 inch,Filter Type==HYDRUALIC OIL FILTER,Filtration Rating==3 TO 200 MICRON,Country of Origin==Made in India,Filter Medium Material==Glass Fibre,Usage/Application==Oil Filter",999
Glass Fibre Hydraulic Oil Filters In Chennai Tamil Nadu,"Hydraulic Oil Filters,HYDAC Filters","Diameter==4 inch,Filtration Rating==3 TO 200 MICRON,Country of Origin==Made in India,Filter Medium Material==Glass Fibre,Usage/Application==Oil Filter,Filter Type==HYDRAULIC OIL FILTER",999
Glass Fibre Hydraulic Oil Filters In Perambur Tamil Nadu,"Hydraulic Oil Filters,HYDAC Filters","Diameter==4 inch,Filtration Rating==3 TO 200 MICRON,Country of Origin==Made in India,Filter Medium Material==Glass Fibre,Usage/Application==Oil Filter,Filter Type==HYDRAULIC OIL FILTER",999
Glass Fibre Hydraulic Oil Filters In Sivakasi Tamil Nadu,"Hydraulic Oil Filters,HYDAC Filters","Diameter==4 inch,Filter Type==HYDRAULIC FILTER,Filtration Rating==3 TO 200 MICRON,Country of Origin==Made in India,Filter Medium Material==Glass Fibre,Usage/Application==Oil Filter",999
Glass Fibre Hydraulic Oil Filters In Kudankulam Tamil Nadu,"Hydraulic Oil Filters,HYDAC Filters","Diameter==4 inch,Filtration Rating==3 TO 200 MICRON,Country of Origin==Made in India,Filter Medium Material==Glass Fibre,Usage/Application==Oil Filter,Filter Type==HYDRAULIC OIL FILTER",999
Glass Fibre Hydraulic Oil Filters In Hyderabad Telangana,"Hydraulic Oil Filters,HYDAC Filters","Diameter==4 inch,Filtration Rating==3 TO 200 MICRON,Country of Origin==Made in India,Filter Medium Material==Glass Fibre,Usage/Application==Oil Filter,Filter Type==HYDRAULIC OIL FILTER",999
Glass Fibre Hydraulic Oil Filters In Warangal Telangana,"Hydraulic Oil Filters,HYDAC Filters","Diameter==4 inch,Filtration Rating==3 TO 200 MICRON,Country of Origin==Made in India,Filter Medium Material==Glass Fibre,Usage/Application==Oil Filter,Filter Type==HYDRAULIC OIL FILTER",999
Glass Fibre Hydraulic Oil Filters In Firozabad Uttar Pradesh,"Hydraulic Oil Filters,HYDAC Filters","Diameter==4 inch,Filtration Rating==3 TO 200 MICRON,Country of Origin==Made in India,Filter Medium Material==Glass Fibre,Usage/Application==Oil Filter,Filter Type==HYDRAULIC OIL FILTER",999
Glass Fibre Hydraulic Oil Filters In Noida Uttar Pradesh,"Hydraulic Oil Filters,HYDAC Filters","Diameter==4 inch,Filtration Rating==3 TO 200 MICRON,Country of Origin==Made in India,Filter Medium Material==Glass Fibre,Usage/Application==Oil Filter,Filter Type==HYDRAULIC OIL FILTER",999
Glass Fibre Hydraulic Oil Filters In Kanpur Uttar Pradesh,"Hydraulic Oil Filters,HYDAC Filters","Diameter==4 inch,Filter Type==HYDRUALIC OIL FILTER,Filtration Rating==3 TO 200 MICRON,Country of Origin==Made in India,Filter Medium Material==Glass Fibre,Usage/Application==Oil Filter",999
Glass Fibre Hydraulic Oil Filters In Gajraula Uttar Pradesh,"Hydraulic Oil Filters,HYDAC Filters","Diameter==4 inch,Filter Type==HYDRUALIC OIL FILTER,Filtration Rating==3 TO 200 MICRON,Country of Origin==Made in India,Filter Medium Material==Glass Fibre,Usage/Application==Oil Filter",999
Glass Fibre Hydraulic Oil Filters In Unnao Uttar Pradesh,"Hydraulic Oil Filters,HYDAC Filters","Diameter==4 inch,Filter Type==HYDRUALIC OIL FILTER,Filtration Rating==3 TO 200 MICORN,Country of Origin==Made in India,Filter Medium Material==Glass Fibre,Usage/Application==Oil Filter",999
Glass Fibre Hydraulic Oil Filters In Mirzapur Uttar Pradesh,"Hydraulic Oil Filters,HYDAC Filters","Diameter==4 inch,Filtration Rating==3 TO 200 MICRON,Country of Origin==Made in India,Filter Medium Material==Glass Fibre,Usage/Application==Oil Filter,Filter Type==HYDRAULIC OIL FILTER",999
"Sarna Agencies Metal Mist Fan Chinese Range, For Air Cooling","Mist Fans,Wall Mount Fan,Water Cooling Fan","Usage/Application==Air Cooling,Brand==Sarna Agencies,Color==MANY,Material==Metal,Fan Size==26 INCH,Type==PEDESTAL,Fan Speed==1400RPM-1600RPM,Height==6 FEET,Tank Capacity==41LTRS-45LTRS,Area Covered==600 SQFT-800SQFT",10500
"SS316 SS Bulk Storage Tank, For Industrial","Stainless Steel Tanks,Oil Storage Tanks,Pressure Tanks","Usage/Application==Industrial,Material==SS316,Surface Finish==Polished,Technique==Cold Rolled,Thickness==10-30mm",100000
"Alap Gold Power Knapsack Sprayer 16 Ltr - APS - 5, PVC, Semi-Automatic","Battery Powered Knapsack Sprayer,Battery Spray Pump,Knapsack Sprayer","Capacity==16 liters,Tank Capacity==16 lt,Brand==ALAP & MILAP,Material==PVC,Automation Grade==Semi-Automatic,Engine Type==Battery",6000
Doors For Panda Shelving Systems,"File Racks,Bin Racks","Color==Light Grey,Brand==Alkon,Product Type==Shelving System,Usage/Application==Pharmacies\, Industry\, Factories,Coating==Powder Coated,Country of Origin==Made in India",20000
40mm MS Rebar Coupler,Rebar Coupler,,
"Rust Remover For Automobile Components, Packaging Type: Plastic Can, Packaging Size: 20 And 40 Kg",Rust Removers,"Flammablity==NON FLAMABLE,Solubility==100% WITH WATER,Brand==METOCHEM,Packaging Size==20 AND 40 KG,Features==RUST AND SCALE REMOVER,Packaging Type==PLASTIC CAN,Country of Origin==Made in India",125
"INDVAC Single stage Oil Lubricated Rotary Vane Vacuum Pump, Model Name/Number: Ivp 650 Olp, 2 Hp","Oil Lubricated Vacuum Pump,Rotary Vane Vacuum Pump","Brand==INDVAC,Model Name/Number==IVP 650 OLP,Max Flow Rate==650 LPM,Type==Oil Lubricant Vacuum Pumps,Number Of Stages==Single stage,Power==2 Hp,Usage/Application==Industrial,Phase==3 Phase,Material==Cast Iron,Mounting==Bench-top,Country of Origin==Made in India",100000
"Red,Orange Silicone Rubber Sheets, For Industrial","Silicone Rubber Sheets,Rubber Sheets","Thickness==5.0 mm,Packaging Type==Roll,Brand==SSP,Size==1 ft x 1 ft\, 1.2 Mtr x 2.4 Mtr.,Country of Origin==Made in India,Color==Red\, Orange,Usage/Application==Industrial,Material==Silicone Rubber",1225
"Nylon Bristle Plastic Door Seal Brush ,plastic Holder Door Seal Strip Brush","Nylon Strip Brushes,Nylon Brushes,Nylon Bristles","Bristle Stiffness==Hard,Usage/Application==Flip- up box,Packaging Type==Box,Country of Origin==Made in India,Strip Length==30mm,Bristle Material==Nylon,Bristle Length==50mm",280
20 Feet Achom HVLS Pole Fan,HVLS Fans,"Blade Diameter==20 ft,Type==HVLS Fan,No. of Blade==5,Usage/Application==Fans Are Used for Circulating Air in Rooms and Buildings,Material==Aluminium,Voltage==230/440 Volts,Color==Grey and Black,Brand==Achom",210000
High Temperature Clip 650,High Temperature Hose,"Usage/Application==Industrial,Color==Grey,Brand==Flexaflex Hoses,Packaging Type==Roll,Shape==Round,Size==50 mm,Temperature==-60 Degree C to +650 Degree C,Country of Origin==Made in India",200
Concrete Sump Tank In All India,"Sump Tanks,RCC Water Tank","Storage Capacity(L)==1000 L,Wall Thickness==125 mm,Grade==M40,Material==RCC,Country of Origin==Made in India",140000
FRP Extension Ladder,"FRP Ladder,Fibreglass Ladders","Ladder Type==Wall Supported,Color==Red,Capacity==150Kg,Finishing==Polished,Usage/Application==Industrial,Material==FRP,Ladder Height==24 Feet,Certificate==ISI Certified",14000
"Black Polyolefin CYG Heat Shrinkable Tube, 600V, Thickness: 12mm",Heat Shrink Tube,"Material==Polyolefin,Thickness==12mm,Size==5.7mm,Voltage==600V,Brand==CYG,Hollow Sections==Circular,Shrinking Ratio==4:1,Temperature==100-150 Degree Celsius,Tensile Strength==10.4MPa,Color==Black",1.8
"Heat Shrink Tube, Size: 4 mm","Heat Shrink Tube,Heat Shrinkable Sleeves","Length==1 meter,Material==Polyolefin,Brand==WOER,Color==Blue,Hollow Sections==Circular,Size==4 mm",6
"Round WIPL Caster Pipe Fitted Movable Wheel, For Industrial, Load Capacity: 130 Kg",PU Casters,"Load Capacity==130 Kg,Usage/Application==Industrial,Size==3""\,4""\,6"",Shape==Round,Brand==WIPL,Color==Silver,Diameter==100 mm,Wheel Material==PU,Thickness==32 mm",240
"75x32 mm PU Caster, Load Capacity: < 100 kg",PU Casters,"Material==PU,Load Capacity==< 100 kg,Locking==Without Brake,Mount Type==Stem,Color==Black,Wheel Diameter==75 mm,Wheel Width==32 mm",230
Jewellery CAD CAM Machine,"CAD CAM Machine,Wax 3D Printer","Brand==Sculptoris Innovation,Model Name/Number==Sculptor 1X,Weight==40 kg,Voltage==19.0 V,Speed==1500 Layer Per Hour,Dimension==390 X 495 X 880 mm (W\,L\,H),Operation System==InBuilt Display,Pixel Size==0.057 mm,Platform Size==125X70.31X150mm,Resin==500 ml Free,Software Upgradation==Life Time,Training==Free for 5 days,Transportation Insurance==Our Responsibility,Transportation & Packaging==Free,Tray==1 Free,UV Curing Oven==SI Oven Free,X & Y Resolution==65u,Z Resolution==75u,Input File==STL & SLC,Installation==Free,Light Engine Resolution==1920 X 1080,Machine Warranty==3 Year,Open Source Consumables==Yes,Industry==Jewellery",1200000
Manual Wire Rope Winch,Manual Winches,"Capacity==10 Ton,Material==Mild Steel,Power Source==Hand,Usage/Application==Industrial,Rope Length==20-25 m,Country of Origin==Made in India",2500
"Brown Heat Resistant PTFE Fabric, For Industrial, Packaging Type: Box","PTFE Fabric,Band Sealer Teflon Belt","Design/Pattern==Plain,Shape==Round,Color==Brown,Usage/Application==Industrial,Material==PTFE,Packaging Type==Box,Features==Heat Resistant",460
"Plain White Fiberglass Mesh 45 to 160gsm, Packaging Type: Roll",Fiberglass Mesh,"Usage/Application==Construction,Brand==EC thermo,Packaging Type==Roll,Pattern==Plain,Color==White",50
"Wipcool Mini Drain Pump P32, Mini Condensate Pump, Automatic Drain Pump","Drain Pump,Condensate Pump","Brand==Wipcool,Model Name/Number==P32,Voltage==100v-230V~/50-60Hz,Tank Capacity==35 ml,Discharge Head(max.)==10m[33ft],Flow Rate(max.)==32L/h(4.2GPH),Suction lift(Max.)==2m(6.5ft),Sound Level at 1m==21dB(A),Mini Splits up to==45\,000btu/hr",4260
"Stainless Steel Drawer Tool Cabinet, Mounting Type: Floor-Mount",Tool Cabinets,"IP Rating==IP56,Features==Waterproof,Shape==Rectangle,Warranty==1 years,Country of Origin==Made in India,Material==Stainless Steel,Mounting Type==Floor-Mount",32500
Glass Fibre Hydraulic Oil Filters In Begusarai,Hydraulic Oil Filters,"Diameter==4 inch,as per client requirement==YES,Filter Type==OIL FILTER,Stainless Steel==SS 304,Wooden Box==YES,Country of Origin==Made in India,Filter Medium Material==Glass Fibre,Usage/Application==Oil Filter",1100
White And Green 10inch PVC Dowel Bar Cap,"Dowel Bar Cap,PVC Sleeve","Length==250 mm,Color==White And Green,Size==10inch,Shape==Cylindrical,Material==PVC",2.9
Stainless Steel Neptune Portable Fogging Machine,"Thermal Fogging Machine,Mini Fogging Machines","Material==Stainless Steel,Frequency==50 Hz,Brand==Neptune,Phase==Single Phase,Steel Grade==SS304,Voltage==220V,Packaging Type==Box",60000
Stainless Steel Hydraulic Oil Filter In Bhatapara Chhattisgarh,Hydraulic Oil Filters,"Filter Medium Material==Stainless Steel Wire Mesh,Diameter==4 inch,Usage/Application==Oil Filter,as per client requirement==YES,Stainless Steel==SS 304,Wooden Box==YES,Country of Origin==Made in India",888
DS09225S12H-034 Size 92x92x25mm DC12V 0.41A 4000RPM Brushless Air Cooling Fan,"DC Cooling Fan,DC Brushless Fan","Type==Air Cooling Fan,Voltage==Dc 12V,Size==92x92x25mm,Usage/Application==Suitable for 3D printers \, Makerbot accessories \, Computer CPU cooler etc \, BBQ Barbecue St,Model Name/Number==DS09225S12H-034,Power==4.92 W,Color==Black,Material==Plastic,Power Source==Battery,Speed==4000RPM,Current==0.41A,Brand==Delta",300
"Jindal Polyurethane Puf Panel 50 Mm, For Roofing, 50-100mm","PUF Insulated Roofing Panel,Polyurethane Sandwich Panel","Thickness==50-100mm,Usage/Application==Roofing,Brand==Jindal,Surface Treatment==Galvanised,Color==Blue,Material==Polyurethane,Sheet Thickness==0.45,Density==40KG",1230
127MM Diamond Core Drill Bit,Diamond Core Bits,"Usage/Application==Sand Stone,Color==Silver,Product Type==Diamond Tools,Material==Seamless Steel,Weight==3.5 kg,Height==1000mm,Features==Core Cutting,Country of Origin==Made in India,Diameter==127mm",2286
Honda Grazia Fuel Pump,Fuel Pump Assembly,,2600
"Maxtech Heavy Duty Screw Jack, For Industrial",Screw Jacks,"Usage/Application==Industrial,Material==CI\,EN-8\,EN-19\,PB-2,Brand==MAXTECH,I Deal In==New Only,Country of Origin==Made in India",120000
"16W STYLE COOLING FAN, 230V",Cooling Fans,"Size==<10 Inch,Type==Air Cooling Fan,Voltage==230V,Usage/Application==INDUSTRIAL,Power==16W,Color==Silver,Material==Metal,Airflow Capacity==500-1000 m3/h,Electric Current Type==AC,Blade Material==Cast Iron,Mounting==FAN,Power Source==Electric",6500
Tpu 3d Printing,3D Prototype Printing Services,"Service Location==Pan India,Usage/Application==Industrial and General,Material==TPU",10
"Infra Water Tank ( 8 Layer), 1000 Litre","Water Storage Tanks,Triple Layered Water Tanks","Layers==8,Country of Origin==Made in India,Storage Capacity==1000 Litre",16500
Full Floor (Square) Industrial Frp Drain Cover,"Drain Covers,FRP Gratings,Trench Covers","Material==Polyresign with Glass Fiber,Shape==Full Floor (Square),Usage/Application==Drainage Cover,Load Capacity==As Per Required,Color==Grey,Size==As Per Your Dimensions,Weight==As Per Requirements,Customization==Customized,Length Or Diameter==Any,Product Type==FRP Moulded Gratings,Coating==Self Polymrised,Country of Origin==Made in India",1000
"PVC Marble Wall Sheet, 3 mm","PVC Marble Sheet,PVC Sheets","Size (feet)==8 x 4,Color==Yellow,Usage/Application==Commercial,Shape==Rectangular,Product Code==6023,Country of Origin==Made in India,Thickness==3 mm,Material==PVC",1500
Duct Fans,"Duct Fans,Inline Fans,Radial Fan","Size==4 inch,Power==50 Watts,Voltage==220V,Brand==ZERO,Current==0.24 amp,Weight==3.1,Capacity==265cmh,Material==Metal,Product Type==Circular,Diameter==100\, 125\, 150\, 200\, 250\, 315\, 400,Color==Black White,IP Rating==IP44,Noise==54dB",8990
KSS Mild Steel Industrial Heavy Duty Pallet Rack,"Heavy Duty Racks,Slotted Angle Racks","Usage/Application==Industrial,Height==8 Feet,Brand==KSS,Color==Orange\, Blue\, etc,Layers Per Rack==100 kg,Surface Finishing==Color Coated,Frame Thickness==10 mm,Material==Mild Steel,Mounting==Free Standing Unit,Country of Origin==Made in India",6000
Expanded Metal Mesh In Delhi,Expanded Metal Mesh,,
"Alkon Polystyrene Modular System Conductive, For Office",Conductive Component Organizer,"Usage/Application==Office\,School\,Industry 7 more,Brand==Alkon,Material==Conductive Polystyrene,Features==Central lockable,Storage Capacity==12 Drawers,Size==360mm (D) x 270mm (W) x 16mm (H),Color==Black",12000
S.s 304 Axial Full Cone Nozzle,"Full Cone Nozzles,Industrial Nozzles","Material==S.s 304,Spray Angle==25 Degree degree to 65 Degree degree,Advantages==Axial Full cone Spray nozzles have an extraordinarily uniform liquid distribution over the whole circular impact area. The high precision of distribution is achieved by orienting the liquid inlet to the centre of the swirl chamber of the nozzle. The optimized x-style swirl insert ensures a high operating safety due to its large free cross-sections,Length 20 mm to 70 mm==Hex size 12 mm to 40 mm",250
"Aluminium Slotted Angle Rack, 3'X7', Height: 7'",Slotted Angle Racks,"Load Per Layer==100 Kg,Product Type==Angle Frame,Number of Shelves==6,Usage/Application==Warehouse,Size==3'X7',Storage Capacity==100KG,Layers Per Rack==6,Design==EXCELLENT DISPLAY RACK,Thickness==1MM,Rack Size==3'X7',Dimension==3X7',Depth==12"",Finish Type==SMOOTH GLOCY,Weight==51 KG,Shape==RECTANGULAR,Color==Dark Grey,Width Of Shelves==12"",Thickness Of Shelves==1MM,I Deal In==New Only,Country of Origin==Made in India,Material==Aluminium,Height==7',Each layer carrying up to==50KG",7500
"Plastic 16l Agriculture Battery Operated Sprayer Pump For Herbicide, 8 AH","Battery Spray Pump,Agricultural Pump,Agricultural Sprayer Pump","Tank Capacity==16L,Power Source==Battery,Material==Plastic,Battery Current==8 AH,Usage/Application==AGRICULTURE,Size==12V8AH,Automation Grade==AUTOMATIC,Brand==FORTUNE,Pump Type==DIAPHRAM",1275
"Aolan 22000 CMH Duct Air Cooler, Material: Plastic","Duct Air Cooler,Industrial Air Cooler","Capacity==40 Ltr,Power==2 HP,Motor Power (HP)==6 HP,Brand==Aolan Air,Cooling Capacity==1500 Sq/Ft,Material==Plastic",42000
Expanded Metal Mesh False Ceiling,Expanded Metal Mesh,,
Synthetic Plain IS 15652 Electrical Rubber Mat,Electrical Rubber Mats,"Color==Black,Pattern==Plain,Material==Synthetic,Thickness==2\,2.5\,3mm",480
"Stainless Steel Tangential Full Cone Spray Nozzle, Spray Angle: 60",Full Cone Nozzles,"Size==0.5 inch,Thread==1/2'' BSPT,Industrial Use==Yes,Rust Proof==Yes,Corrosion Resistant==Yes,Country of Origin==Made in India,Material==Stainless Steel,Spray Angle==60",600
Cotton Twisted Macrame Cord 3mm,"Macrame Cord,Cotton Ropes","Color==off white,Material==cotton natural,Packaging Type==roll,Usage/Application==macreme,Length==300 mtr approx,Any Color==yes,Age==as per use,Capacity Ton==10 kg,No Of Ply==3ply,Packaging Size==5 inch /6 inch,Country of Origin==Made in India,Pattern==twisted,Diameter Millimetres==3mm,Cotton==cotton",180
5mm Metal Stamping Punch,"Letter Punches,Stamping Punches","Usage/Application==INDUSTRIAL,Application==Used As A Stamping,Brand==OWN,Character Type==RAISED,Feature==USE FOR METAL STAMPING,Color==Silver,Packaging Type==BOX,Overall Length==100 mm,Shape==Round,Country of Origin==Made in India,Tip Size==5 mm,Material==Metal",350
PGSA2Z DSB0912M Size 92X92X25mm DC12V 0.1A 2000 RPM Brushless Air Cooling Fan,"DC Cooling Fan,DC Brushless Fan","Speed==2300 rpm,Size==3 inch,Type==Air Cooling Fan,Color==Black,Material==Plastic,Voltage==12V,Usage/Application==Application: Suitable for 3D printers. Makerbot accessories. Computer CPU cooler etc. BBQ Barbecu,Power Source==Battery,Air Volume==300,Design Type==FAN,Radiator Type==DC COOLING FAN,Current==0.19A",220
Plastic Single Battery Trolley,"Battery Trolley,Inverter Trolley","Material==Plastic,Usage/Application==For Battery Use,Color==White and Black,Wheel==Four-Wheel,Size/Dimension==3x2x2.5(LxWxH) feet,Design Type==Plain,Finishing Type==Color Coated,Capacity==22 Kg",410
Cooling fan Make-Adda (AD0912HB-F93GP),DC Cooling Fan,"Type==Air Cooling Fan,Size==3 inch,Color==Black,Material==Plastic,Speed==1500 rpm,Voltage==12Vdc,Usage/Application==Industrial,Power Source==Electric",850
Yamaha R15 V2 Fuel Pump,Fuel Pump Assembly,"Material==ABS Plastic,Color==White (Base),Is It Rust Proof==Rust Proof,Warranty==1 Month Warranty,Usage/Application==An Integral Part Of Your Motorcycle Fuel System\,It Transfers Fuel To The Carburetor Or Fuel Injector",2600
"Telescopic Tower Ladder, Aluminum","Aluminium Tower Ladder,Aluminium Extension Ladder","Height==24 ft,Capacity==200 Kg,Weight==200 kg,Brand==Beema,Is It Anodised==Anodised,Surface Treatment==Galvanised,Application==Commercial,Country of Origin==Made in India,Material==Aluminum",80000
"Sand & Carbon Filter, Vessel Height: 800-1000 mm, 400-600 mm",Sand Carbon Filter,"Usage/Application==Industrial,Vessel Diameter==400-600 mm,Color==YELLOW,Vessel Height==800-1000 mm,Material==FRP,Flow Rate==0-500 m^3/hr,Media Quantity==100-400 kg,Grade==INDUSTRIAL",50000
Air Cooling Fan EBM PAPST R3G175-AF19-02,Cooling Fans,"Size==24 Inch,Speed==3000 rpm,Color==Black,Material==Metal,Usage/Application==Industrial,Type==Air Cooling Fan",64800
"Mild Steel 16mm Parallel Rebar Coupler, For Construction","Rebar Coupler,Metal Coupler","Length==20 mm,Type==Pin Bush Coupling,Surface Type==Hot Dipped Galvanized,Country of Origin==Made in India,Diameter==16 mm,Material==Mild Steel,Usage/Application==Construction",16
Maruti handicrafts 10 cm Fridge Magnets,Fridge Magnet,"Magnet Grade==N35,Size==10 cm,Brand==Maruti handicrafts",65
"Cura Metal Housekeeping Service Cleaning Trolley, For Hotels, Model Name/Number: CSHT-03",Housekeeping Carts and Wringer Trolleys,"Usage/Application==Hotels,Model Name/Number==CSHT-03,Material==Metal,Color==Brown,Brand==Cura,No Of Shelves==3",16500
5.2x54x90 SC DRILL 45HRC LONG,Solid Carbide Drill,"Material==Carbide Tipped,Length==100-150 mm,Diameter==Back5.2x54x90 mm,Shape==Round,Brand==Carbiforce,Drill Type==LONG,Modal Number==45HRC,Products Type==SC DRILL",277
"KIA Puf Insulated Roofing Panel, Thickness (in mm): 20 mm",PUF Insulated Roofing Panel,"Thickness==40 mm,Color==White,Origin In==India,Brand==KIA,Material==PUF,Thickness (in mm)==20 mm",1325
Kitchen Exhaust Blower,"Exhaust Blowers,Blowers,Low Pressure Blower","Phase==Single Phase and 3 Phase,Power Source==Electric Blower,Pressure==Low Pressure,Blower Type==Centrifugal Blower,Frequency==50 Hz,Voltage==220 and 430 V,Power==0.5 HP To 500 HP,Speed==960 \, 1440,Material==MS and SS-304,Usage/Application==Industrial,Color==As per Clients Requirement,Noise==Below 50 Db,Mounting==Foot Mounted,Capacity==1000 CFM and above,Motor Power==1 HP To 500 HP,Air Volume==500 To 50000 CMH,Electric Current Type==AC,Fan Type==Backward Curved,Country of Origin==Made in India,Type of Centrifugal Blowers==Exhaust Blowers",35000
Refrigerated 40 Cfm Compressed Air Dryer,Refrigerated Air Dryers,"Dryer Horse Power==5 HP,Capacity==40 CFM,Dryer Technology==Refrigerated",28000
compressed air dryer manufacturer in delhi,Compressed Air Dryer,,35000
Galvanised Gabion wall work,Gabion Box,"Wire Diameter==3.5 mm,Usage/Application==Soil Retaining wall,Mesh Size==100x120 mm,Material Grade==Gabion mesh Box,Size==1mt*1mt *1mt\, 2mt*1mt*1mt\, 3mt*1mt*1mt,Material==Zn + PVC Coated,Thickness==2.7mm + 1.00mm,Tensile Strength==380 n/mm,Hole Shape==Hexagonal shape,Width==1mt \, 1.5mt\, 2mt,Type Of Wire==Galvanised,Usage==Gabion Wall Work",600
"Galvanised Hexagonal Gabion Box, For Industrial",Gabion Box,"Wire Diameter==3.5 mm,Material==Plastic,Country of Origin==Made in India,Type Of Wire==Galvanised,Usage/Application==Industrial,Shape==Hexagonal,Packaging Type==Box",600
"Mesh Wire Stone Gabion Box, For Industrial",Gabion Box,"Usage==Industrial,Type Of Wire==Mesh Wire,Material==Galvanized Iron Wire,Hole Shape==Hexagonal,Tensile Strength (n/Mm)==380 n/mm,Wire Gauge (mm)==2-4 mm",120
"Galvanised Gabion Box Hexagonal, For Industrial, Material Grade: Reliance Resin PVC Compound",Gabion Box,"Wire Diameter==2.5 mm,Type Of Wire==Galvanised,Usage/Application==Industrial,Size==4mt x 1mt x 1mt\, 3mt x 1mt x1mtx \, 2mt x 1mt x 1mt,Material Grade==RELIANCE RESIN PVC COMPOUND,Mesh Size==100x120 mm,Material==ZN+PVC,Color==Silver,Country of Origin==Made in India",590
"Rotary Gear Pump, Flow Rate: 05 to 500 LPM",Rotary Gear Pumps,"Usage==Used for transferring mineral oils and other similar liquids,Pressure==Max. 10 Kg/cm2,Pump Size==1/4"" to 3"" Size BSP Screw End,Shaft Seal==Oil Seal / M. Seal / Gland Packing,Gear Design==Single Helical \, Double Helical,Make / Brand==DEV,Material==Cast Iron\, CI-SS . SS-304\, SS-316\, SG Iron,Max. Temp. Range==up to 200 Deg C,Mounting==Foot Mounted,Country of Origin==Made in India,Flow Rate==05 to 500 LPM,Max Flow Rate(Litre/Min)==500 LPM",3000
Petrol Hero Glamour Fi Fuel Pump,Fuel Pump Assembly,"Usage/Application==An Integral Part Of Your Motorcycle Fuel System\,It Transfers Fuel To The Carburetor Or Fuel Injector,Voltage==24V,Max Flow Rate==150 Lpm,Pressure==90psi,Automation Grade==Automatic,Material==ABS Plastic,Color==White,Fuel Type==Petrol,Product Ideal For==Glamour",2700
Mahindra Maxximo Mini Van Fuel Pump Assembly,Fuel Pump Assembly,"Material==ABS Plastic & Cast Iron,Max Flow Rate==150 LPM,Color==Silver & Black,Is It Rust Proof==Rust Proof,Usage/Application==Supply sufficient amount of fuel from fuel tank to the engine,Automation Grade==Primarily Automatic,Warranty==1 Month Customer Satisfaction Warranty",4500
Diesel Fuel Pump Motor,Fuel Pump Assembly,"Material==Casting Iron,Max Flow Rate==20LPM,Color==Silver,Is It Rust Proof==Rust Proof,Weight==300KG,Warranty==1 month warranty,Usage/Application==To Pump The Fuel,Fuel Type==Diesel",2000
Fuel Pump Assembly for Renault Duster,Fuel Pump Assembly,"Material==ABS PLASTIC,Max Flow Rate==150 LPM,Color==YELLOW & WHITE TOP,Is It Rust Proof==Rust Proof,Weight==.800 KG,Packaging Type==CARDBOARD BOX,Packaging Size==32*17*17,Country of Origin==Made in India",4200
Tvs Xl 100 Bs6 Fuel Pump,Fuel Pump Assembly,"Material==ABS Plastic,Color==White,Is It Rust Proof==Rust Proof,Warranty==1 Month Warranty,Usage/Application==An Integral Part Of Your Motorcycle Fuel System\,It Transfers Fuel To The Carburetor Or Fuel Injector,Country of Origin==Made in India",2400
